(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae173)	[3.0086710453033447, 0.5666666666666665, 0.5483870967741935, 0.5862068965517241, 0.5669817440703097, 0.3953488372093023]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae1a9)	[2.448709011077881, 0.48, 0.3870967741935484, 0.631578947368421, 0.4944513860581975, 0.3157894736842105]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae192)	[2.573476076126098, 0.6363636363636365, 0.7, 0.5833333333333334, 0.6390096504226939, 0.4666666666666667]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae15a)	[2.493232011795044, 0.6101694915254238, 0.6, 0.6206896551724138, 0.6102571532587294, 0.4390243902439024]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae1a1)	[2.865332126617432, 0.6122448979591838, 0.5172413793103449, 0.75, 0.6228410989030497, 0.4411764705882353]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae84d)	[2.7368719577789307, 0.5679012345679013, 0.8518518518518519, 0.4259259259259259, 0.6023502210107626, 0.396551724137931]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae18c)	[2.5531980991363525, 0.6428571428571428, 0.5806451612903226, 0.72, 0.6465790872963897, 0.4736842105263157]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae161)	[3.4354610443115234, 0.6181818181818183, 0.5666666666666667, 0.68, 0.6207522318391883, 0.4473684210526316]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae16f)	[2.889476776123047, 0.5882352941176471, 0.625, 0.5555555555555556, 0.5892556509887895, 0.4166666666666667]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae17d)	[2.507053852081299, 0.6428571428571429, 0.6, 0.6923076923076923, 0.6445033866354896, 0.4736842105263157]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae849)	[2.664233922958374, 0.5333333333333333, 0.7272727272727273, 0.4210526315789473, 0.5533715710928597, 0.3636363636363636]
