(631906e48f44b1663ff28a6f,631906dfe089cc1990985c35)	[2.4269723892211914, 0.6181818181818182, 0.5483870967741935, 0.7083333333333334, 0.6232502388407516, 0.4473684210526316]
(631906e48f44b1663ff28a6f,631906dfe089cc1990985c47)	[2.5803298950195312, 0.5625, 0.5806451612903226, 0.5454545454545454, 0.5627748595326503, 0.391304347826087]
(631906e48f44b1663ff28a6f,631906dfe089cc199098632e)	[2.6427090167999268, 0.5679012345679013, 0.8214285714285714, 0.4339622641509434, 0.5970502513988397, 0.396551724137931]
(631906e48f44b1663ff28a6f,631906dfe089cc199098631b)	[2.607236862182617, 0.6024096385542169, 0.7352941176470589, 0.5102040816326531, 0.6124949469375315, 0.4310344827586206]
(631906e48f44b1663ff28a6f,631906dfe089cc1990985c33)	[2.476088762283325, 0.631578947368421, 0.5806451612903226, 0.6923076923076923, 0.6340229583087122, 0.4615384615384615]
(631906e48f44b1663ff28a6f,631906dfe089cc1990985c2d)	[2.8169169425964355, 0.5333333333333333, 0.4848484848484848, 0.5925925925925926, 0.5360201681382464, 0.3636363636363636]
(631906e48f44b1663ff28a6f,631906dfe089cc1990985b2e)	[2.4234979152679443, 0.5656565656565655, 0.7777777777777778, 0.4444444444444444, 0.5879447357921312, 0.3943661971830985]
(631906e48f44b1663ff28a6f,631906dfe089cc1990985b25)	[2.367121934890747, 0.4705882352941177, 0.6666666666666666, 0.3636363636363636, 0.4923659639173309, 0.3076923076923077]
(631906e48f44b1663ff28a6f,631906dfe089cc1990985c7b)	[2.608030080795288, 0.5263157894736842, 0.4545454545454545, 0.625, 0.5330017908890262, 0.3571428571428571]
(631906e48f44b1663ff28a6f,631906dfe089cc19909855b0)	[3.50259780883789, 0.5, 0.3584905660377358, 0.8260869565217391, 0.5441914926198945, 0.3333333333333333]
(631906e48f44b1663ff28a6f,631906dfe089cc199098631c)	[2.519671678543091, 0.49438202247191, 0.6666666666666666, 0.3928571428571428, 0.511766315719159, 0.3283582089552239]
(631906e48f44b1663ff28a6f,631906dfe089cc1990985c66)	[2.5841190814971924, 0.6101694915254238, 0.5625, 0.6666666666666666, 0.6123724356957945, 0.4390243902439024]
(631906e48f44b1663ff28a6f,631906dfe089cc1990985c4d)	[2.6478159427642822, 0.6153846153846153, 0.5333333333333333, 0.7272727272727273, 0.6227991553292184, 0.4444444444444444]
(631906e48f44b1663ff28a6f,631906dfe089cc1990985c4b)	[2.614588975906372, 0.53125, 0.5151515151515151, 0.5483870967741935, 0.531509589558614, 0.3617021276595745]
