pos	int
14.6211	43.00
14.6341	48.00
14.6471	43.00
14.6601	39.00
14.6731	42.00
14.6861	43.00
14.6991	46.00
14.7121	47.00
14.7251	41.00
14.7381	31.00
14.7511	37.00
14.7641	49.00
14.7771	46.00
14.7901	39.00
14.8031	46.00
14.8161	43.00
14.8291	36.00
14.8421	46.00
14.8551	42.00
14.8681	47.00
14.8811	49.00
14.8941	45.00
14.9071	50.00
14.9201	50.00
14.9331	43.00
14.9461	44.00
14.9591	40.00
14.9721	47.00
14.9851	51.00
14.9981	48.00
15.0111	44.00
15.0241	42.00
15.0371	33.00
15.0501	42.00
15.0631	55.00
15.0761	43.00
15.0891	34.00
15.1021	38.00
15.1151	38.00
15.1280	32.00
15.1410	40.00
15.1540	42.00
15.1670	48.00
15.1800	37.00
15.1930	39.00
15.2060	35.00
15.2190	28.00
15.2320	45.00
15.2450	48.00
15.2580	42.00
15.2710	46.00
15.2840	46.00
15.2970	37.00
15.3100	37.00
15.3230	50.00
15.3360	42.00
15.3490	36.00
15.3620	38.00
15.3750	43.00
15.3880	39.00
15.4010	30.00
15.4140	41.00
15.4270	48.00
15.4400	52.00
15.4530	42.00
15.4660	41.00
15.4790	49.00
15.4920	50.00
15.5050	41.00
15.5180	46.00
15.5310	41.00
15.5440	34.00
15.5570	38.00
15.5700	37.00
15.5830	42.00
15.5960	41.00
15.6090	47.00
15.6220	41.00
15.6350	40.00
15.6480	47.00
15.6609	44.00
15.6739	38.00
15.6869	47.00
15.6999	42.00
15.7129	42.00
15.7259	47.00
15.7389	45.00
15.7519	44.00
15.7649	38.00
15.7779	42.00
15.7909	47.00
15.8039	46.00
15.8169	45.00
15.8299	45.00
15.8429	45.00
15.8559	43.00
15.8689	37.00
15.8819	36.00
15.8949	37.00
15.9079	43.00
15.9209	49.00
15.9339	43.00
15.9469	37.00
15.9599	35.00
15.9729	37.00
15.9859	38.00
15.9989	37.00
16.0119	31.00
16.0249	34.00
16.0379	37.00
16.0509	32.00
16.0639	39.00
16.0769	40.00
16.0899	42.00
16.1029	38.00
16.1159	44.00
16.1289	47.00
16.1419	41.00
16.1549	38.00
16.1679	37.00
16.1809	40.00
16.1939	36.00
16.2068	45.00
16.2198	47.00
16.2328	32.00
16.2458	38.00
16.2588	42.00
16.2718	36.00
16.2848	48.00
16.2978	47.00
16.3108	35.00
16.3238	40.00
16.3368	51.00
16.3498	49.00
16.3628	44.00
16.3758	34.00
16.3888	40.00
16.4018	39.00
16.4148	55.00
16.4278	41.00
16.4408	44.00
16.4538	49.00
16.4668	40.00
16.4798	42.00
16.4928	45.00
16.5058	50.00
16.5188	43.00
16.5318	38.00
16.5448	39.00
16.5578	27.00
16.5708	42.00
16.5838	43.00
16.5968	40.00
16.6098	31.00
16.6228	39.00
16.6358	44.00
16.6488	39.00
16.6618	46.00
16.6748	36.00
16.6878	37.00
16.7008	33.00
16.7138	42.00
16.7268	50.00
16.7397	42.00
16.7527	43.00
16.7657	35.00
16.7787	37.00
16.7917	42.00
16.8047	41.00
16.8177	39.00
16.8307	36.00
16.8437	37.00
16.8567	42.00
16.8697	48.00
16.8827	40.00
16.8957	38.00
16.9087	31.00
16.9217	43.00
16.9347	43.00
16.9477	39.00
16.9607	45.00
16.9737	51.00
16.9867	40.00
16.9997	42.00
