pos	int	
10.2667	2391.00	
13.1818	1742.00	
16.1350	1307.00	
19.0691	910.00	
22.0604	3287.00	
24.9755	648.00	
28.1573	590.00	
31.3582	8822.00	
34.2923	423.00	
38.7126	2681.00	
41.7420	338.00	
45.0191	1579.00	
50.6015	1020.00	
55.9935	2176.00	
59.5944	315.00	
62.4714	268.00	
65.5580	798.00	
69.7496	537.00	
74.5128	629.00	
78.4186	352.00	
