#PWDR MnO2_Unmilled_Air_InitialScan.xrdml Scan 1 Peak List 
#wavelength =   1.540600
#      pos        dsp        esd          int        esd        sig        gam       FWHM
   13.1997    6.70210    0.00000      1097.00       0.00    0.00010    0.00000    0.00000 
   13.2390    6.68225    0.00000      1197.00       0.00    0.00010    0.00000    0.00000 
   13.2653    6.66908    0.00000      1213.00       0.00    0.00010    0.00000    0.00000 
   13.3178    6.64289    0.00000      1163.00       0.00    0.00010    0.00000    0.00000 
   13.3703    6.61692    0.00000      1203.00       0.00    0.00010    0.00000    0.00000 
   13.3966    6.60400    0.00000      1136.00       0.00    0.00010    0.00000    0.00000 
   13.4360    6.58473    0.00000      1161.00       0.00    0.00010    0.00000    0.00000 
   13.4623    6.57195    0.00000      1190.00       0.00    0.00010    0.00000    0.00000 
   13.5017    6.55286    0.00000      1178.00       0.00    0.00010    0.00000    0.00000 
   13.5542    6.52759    0.00000      1212.00       0.00    0.00010    0.00000    0.00000 
   13.6067    6.50251    0.00000      1187.00       0.00    0.00010    0.00000    0.00000 
   13.6592    6.47762    0.00000      1154.00       0.00    0.00010    0.00000    0.00000 
   13.6986    6.45909    0.00000      1164.00       0.00    0.00010    0.00000    0.00000 
   13.7511    6.43453    0.00000      1188.00       0.00    0.00010    0.00000    0.00000 
   13.7774    6.42233    0.00000      1155.00       0.00    0.00010    0.00000    0.00000 
   13.8036    6.41017    0.00000      1120.00       0.00    0.00010    0.00000    0.00000 
   13.8299    6.39806    0.00000      1147.00       0.00    0.00010    0.00000    0.00000 
   13.8956    6.36798    0.00000      1194.00       0.00    0.00010    0.00000    0.00000 
   13.9349    6.35006    0.00000      1144.00       0.00    0.00010    0.00000    0.00000 
   14.0006    6.32043    0.00000      1151.00       0.00    0.00010    0.00000    0.00000 
   14.0400    6.30279    0.00000      1132.00       0.00    0.00010    0.00000    0.00000 
   14.0794    6.28524    0.00000      1126.00       0.00    0.00010    0.00000    0.00000 
   14.1319    6.26200    0.00000      1148.00       0.00    0.00010    0.00000    0.00000 
   14.1582    6.25045    0.00000      1105.00       0.00    0.00010    0.00000    0.00000 
   14.2369    6.21604    0.00000      1144.00       0.00    0.00010    0.00000    0.00000 
   14.3157    6.18200    0.00000      1124.00       0.00    0.00010    0.00000    0.00000 
   14.3420    6.17074    0.00000      1145.00       0.00    0.00010    0.00000    0.00000 
   14.3945    6.14835    0.00000      1105.00       0.00    0.00010    0.00000    0.00000 
   14.4470    6.12611    0.00000      1093.00       0.00    0.00010    0.00000    0.00000 
   14.4733    6.11506    0.00000      1100.00       0.00    0.00010    0.00000    0.00000 
