pos	int
29.2285	740.00
29.2547	759.00
29.2810	701.00
29.3072	659.00
29.3335	705.00
29.3598	678.00
29.3860	646.00
29.4123	679.00
29.4385	639.00
29.4648	634.00
29.4910	628.00
29.5173	622.00
29.5435	643.00
29.5698	646.00
29.5960	635.00
29.6223	615.00
29.6486	670.00
29.6748	658.00
29.7011	615.00
29.7273	609.00
29.7536	585.00
29.7798	625.00
29.8061	628.00
29.8323	631.00
29.8586	623.00
29.8848	610.00
29.9111	624.00
29.9374	674.00
29.9636	589.00
29.9899	601.00
30.0161	612.00
30.0424	584.00
30.0686	604.00
30.0949	615.00
30.1211	626.00
30.1474	597.00
30.1736	587.00
30.1999	619.00
30.2262	560.00
30.2524	606.00
30.2787	592.00
30.3049	576.00
30.3312	590.00
30.3574	603.00
30.3837	596.00
30.4099	579.00
30.4362	574.00
30.4624	584.00
30.4887	576.00
30.5150	583.00
30.5412	567.00
30.5675	596.00
30.5937	575.00
30.6200	530.00
30.6462	559.00
30.6725	572.00
30.6987	556.00
30.7250	593.00
30.7512	580.00
30.7775	543.00
30.8038	567.00
30.8300	570.00
30.8563	550.00
30.8825	555.00
30.9088	528.00
30.9350	566.00
30.9613	602.00
30.9875	549.00
31.0138	523.00
31.0400	588.00
31.0663	536.00
31.0926	557.00
31.1188	568.00
31.1451	549.00
31.1713	563.00
31.1976	570.00
31.2238	572.00
31.2501	572.00
31.2763	548.00
31.3026	553.00
31.3288	558.00
31.3551	542.00
31.3814	533.00
31.4076	592.00
31.4339	558.00
31.4601	527.00
31.4864	514.00
31.5126	584.00
31.5389	572.00
31.5651	508.00
31.5914	529.00
31.6176	537.00
31.6439	558.00
31.6702	539.00
31.6964	520.00
31.7227	502.00
31.7489	602.00
31.7752	570.00
31.8014	527.00
31.8277	547.00
31.8539	532.00
31.8802	536.00
31.9064	574.00
31.9327	584.00
31.9590	552.00
31.9852	540.00
32.0115	513.00
32.0377	518.00
32.0640	548.00
32.0902	513.00
32.1165	554.00
32.1427	559.00
32.1690	563.00
32.1952	551.00
32.2215	560.00
32.2478	579.00
32.2740	562.00
32.3003	507.00
32.3265	563.00
32.3528	553.00
32.3790	524.00
32.4053	522.00
32.4315	532.00
32.4578	458.00
32.4841	496.00
32.5103	502.00
32.5366	470.00
32.5628	517.00
32.5891	486.00
32.6153	492.00
32.6416	462.00
32.6678	475.00
32.6941	490.00
32.7203	482.00
32.7466	477.00
32.7729	511.00
32.7991	531.00
32.8254	461.00
32.8516	525.00
32.8779	542.00
32.9041	502.00
32.9304	481.00
32.9566	537.00
32.9829	517.00
33.0091	535.00
33.0354	532.00
33.0617	489.00
33.0879	518.00
33.1142	508.00
33.1404	547.00
33.1667	500.00
33.1929	511.00
33.2192	499.00
33.2454	507.00
33.2717	475.00
33.2979	476.00
33.3242	526.00
