pos	int
14.6211	20.00
14.6341	23.00
14.6471	23.00
14.6601	20.00
14.6731	15.00
14.6861	14.00
14.6991	19.00
14.7121	24.00
14.7251	23.00
14.7381	21.00
14.7511	20.00
14.7641	19.00
14.7771	20.00
14.7901	24.00
14.8031	27.00
14.8161	25.00
14.8291	18.00
14.8421	19.00
14.8551	19.00
14.8681	21.00
14.8811	26.00
14.8941	25.00
14.9071	20.00
14.9201	25.00
14.9331	23.00
14.9461	29.00
14.9591	21.00
14.9721	20.00
14.9851	19.00
14.9981	21.00
15.0111	20.00
15.0241	20.00
15.0371	28.00
15.0501	29.00
15.0631	21.00
15.0761	25.00
15.0891	27.00
15.1021	20.00
15.1151	25.00
15.1280	13.00
15.1410	18.00
15.1540	18.00
15.1670	25.00
15.1800	26.00
15.1930	34.00
15.2060	17.00
15.2190	15.00
15.2320	24.00
15.2450	11.00
15.2580	11.00
15.2710	14.00
15.2840	16.00
15.2970	20.00
15.3100	30.00
15.3230	37.00
15.3360	28.00
15.3490	28.00
15.3620	26.00
15.3750	22.00
15.3880	22.00
15.4010	21.00
15.4140	18.00
15.4270	18.00
15.4400	15.00
15.4530	18.00
15.4660	21.00
15.4790	20.00
15.4920	18.00
15.5050	25.00
15.5180	17.00
15.5310	18.00
15.5440	17.00
15.5570	16.00
15.5700	22.00
15.5830	25.00
15.5960	21.00
15.6090	20.00
15.6220	22.00
15.6350	14.00
15.6480	21.00
15.6609	22.00
15.6739	23.00
15.6869	23.00
15.6999	23.00
15.7129	23.00
15.7259	20.00
15.7389	17.00
15.7519	16.00
15.7649	20.00
15.7779	21.00
15.7909	21.00
15.8039	24.00
15.8169	18.00
15.8299	14.00
15.8429	13.00
15.8559	17.00
15.8689	24.00
15.8819	21.00
15.8949	19.00
15.9079	20.00
15.9209	20.00
15.9339	19.00
15.9469	22.00
15.9599	20.00
15.9729	14.00
15.9859	15.00
15.9989	22.00
16.0119	25.00
16.0249	25.00
16.0379	21.00
16.0509	21.00
16.0639	23.00
16.0769	20.00
16.0899	16.00
16.1029	25.00
16.1159	33.00
16.1289	23.00
16.1419	22.00
16.1549	19.00
16.1679	23.00
16.1809	33.00
