XRDML file: ../content/data/xrdml/NASA/BCdT - PT/10Bi(Cd0.5Ti0.5)O3 - 90PbTiO3 - 1100C.xrdml
Package: Scipy
Allowed Error: 0.1
distance  		prominence		recall         		precision      		f1_score       
-------------------------------------------------------------------------------------
100       		None      		0.40625        		0.37143        		0.38806        
None      		100       		0.71875        		0.23958        		0.35938        
100       		100       		0.40625        		0.54167        		0.46429        
None      		150       		0.59375        		0.6129         		0.60317        
100       		150       		0.34375        		0.6875         		0.45833        
None      		200       		0.53125        		0.94444        		0.68           
100       		200       		0.34375        		1.0            		0.51163        
None      		250       		0.46875        		1.0            		0.6383         
100       		250       		0.28125        		1.0            		0.43902        
None      		300       		0.40625        		1.0            		0.57778        
100       		300       		0.25           		1.0            		0.4            
None      		350       		0.375          		1.0            		0.54545        
100       		350       		0.25           		1.0            		0.4            
None      		400       		0.34375        		1.0            		0.51163        
100       		400       		0.21875        		1.0            		0.35897        
None      		450       		0.34375        		1.0            		0.51163        
100       		450       		0.21875        		1.0            		0.35897        
None      		500       		0.3125         		1.0            		0.47619        
100       		500       		0.1875         		1.0            		0.31579        
None      		550       		0.3125         		1.0            		0.47619        
100       		550       		0.1875         		1.0            		0.31579        
None      		600       		0.3125         		1.0            		0.47619        
100       		600       		0.1875         		1.0            		0.31579        
None      		650       		0.28125        		1.0            		0.43902        
100       		650       		0.1875         		1.0            		0.31579        
None      		700       		0.28125        		1.0            		0.43902        
100       		700       		0.1875         		1.0            		0.31579        
None      		750       		0.28125        		1.0            		0.43902        
100       		750       		0.1875         		1.0            		0.31579        
None      		800       		0.28125        		1.0            		0.43902        
100       		800       		0.1875         		1.0            		0.31579        
None      		850       		0.28125        		1.0            		0.43902        
100       		850       		0.1875         		1.0            		0.31579        
None      		900       		0.25           		1.0            		0.4            
100       		900       		0.1875         		1.0            		0.31579        
None      		950       		0.25           		1.0            		0.4            
100       		950       		0.1875         		1.0            		0.31579        
None      		1000      		0.25           		1.0            		0.4            
100       		1000      		0.1875         		1.0            		0.31579        
110       		None      		0.375          		0.4            		0.3871         
None      		100       		0.71875        		0.23958        		0.35938        
110       		100       		0.34375        		0.52381        		0.41509        
None      		150       		0.59375        		0.6129         		0.60317        
110       		150       		0.34375        		0.78571        		0.47826        
None      		200       		0.53125        		0.94444        		0.68           
110       		200       		0.34375        		1.0            		0.51163        
None      		250       		0.46875        		1.0            		0.6383         
110       		250       		0.28125        		1.0            		0.43902        
None      		300       		0.40625        		1.0            		0.57778        
110       		300       		0.25           		1.0            		0.4            
None      		350       		0.375          		1.0            		0.54545        
110       		350       		0.25           		1.0            		0.4            
None      		400       		0.34375        		1.0            		0.51163        
110       		400       		0.21875        		1.0            		0.35897        
None      		450       		0.34375        		1.0            		0.51163        
110       		450       		0.21875        		1.0            		0.35897        
None      		500       		0.3125         		1.0            		0.47619        
110       		500       		0.1875         		1.0            		0.31579        
None      		550       		0.3125         		1.0            		0.47619        
110       		550       		0.1875         		1.0            		0.31579        
None      		600       		0.3125         		1.0            		0.47619        
110       		600       		0.1875         		1.0            		0.31579        
None      		650       		0.28125        		1.0            		0.43902        
110       		650       		0.1875         		1.0            		0.31579        
None      		700       		0.28125        		1.0            		0.43902        
110       		700       		0.1875         		1.0            		0.31579        
None      		750       		0.28125        		1.0            		0.43902        
110       		750       		0.1875         		1.0            		0.31579        
None      		800       		0.28125        		1.0            		0.43902        
110       		800       		0.1875         		1.0            		0.31579        
None      		850       		0.28125        		1.0            		0.43902        
110       		850       		0.1875         		1.0            		0.31579        
None      		900       		0.25           		1.0            		0.4            
110       		900       		0.1875         		1.0            		0.31579        
None      		950       		0.25           		1.0            		0.4            
110       		950       		0.1875         		1.0            		0.31579        
None      		1000      		0.25           		1.0            		0.4            
110       		1000      		0.1875         		1.0            		0.31579        
120       		None      		0.375          		0.41379        		0.39344        
None      		100       		0.71875        		0.23958        		0.35938        
120       		100       		0.34375        		0.73333        		0.46809        
None      		150       		0.59375        		0.6129         		0.60317        
120       		150       		0.34375        		1.0            		0.51163        
None      		200       		0.53125        		0.94444        		0.68           
120       		200       		0.34375        		1.0            		0.51163        
None      		250       		0.46875        		1.0            		0.6383         
120       		250       		0.28125        		1.0            		0.43902        
None      		300       		0.40625        		1.0            		0.57778        
120       		300       		0.25           		1.0            		0.4            
None      		350       		0.375          		1.0            		0.54545        
120       		350       		0.25           		1.0            		0.4            
None      		400       		0.34375        		1.0            		0.51163        
120       		400       		0.21875        		1.0            		0.35897        
None      		450       		0.34375        		1.0            		0.51163        
