pos	int	
15.5255	1929.00	
15.5445	1892.00	
15.5636	1935.00	
15.5826	1878.00	
15.6017	1864.00	
15.6207	1868.00	
15.6398	1911.00	
15.6588	1806.00	
15.6779	1898.00	
15.6970	1878.00	
15.7160	1864.00	
15.7351	1868.00	
15.7541	1769.00	
15.7732	1817.00	
15.7922	1851.00	
15.8113	1824.00	
15.8303	1872.00	
15.8494	1882.00	
15.8684	1803.00	
15.8875	1804.00	
15.9065	1849.00	
15.9256	1789.00	
15.9446	1815.00	
15.9637	1802.00	
15.9828	1841.00	
16.0018	1842.00	
16.0209	1849.00	
16.0399	1813.00	
16.0590	1833.00	
16.0780	1724.00	
16.0971	1842.00	
16.1161	1757.00	
16.1352	1816.00	
16.1542	1826.00	
16.1733	1788.00	
16.1923	1830.00	
16.2114	1834.00	
16.2304	1851.00	
16.2495	1780.00	
16.2686	1763.00	
16.2876	1755.00	
16.3067	1829.00	
16.3257	1770.00	
16.3448	1670.00	
16.3638	1738.00	
16.3829	1792.00	
16.4019	1750.00	
16.4210	1841.00	
16.4400	1725.00	
16.4591	1738.00	
16.4781	1743.00	
16.4972	1758.00	
16.5162	1698.00	
16.5353	1762.00	
16.5544	1650.00	
16.5734	1730.00	
16.5925	1712.00	
16.6115	1650.00	
16.6306	1811.00	
16.6496	1709.00	
16.6687	1756.00	
16.6877	1728.00	
16.7068	1795.00	
16.7258	1643.00	
16.7449	1665.00	
16.7639	1728.00	
16.7830	1700.00	
16.8020	1629.00	
16.8211	1692.00	
16.8402	1620.00	
16.8592	1731.00	
16.8783	1651.00	
16.8973	1652.00	
16.9164	1690.00	
16.9354	1693.00	
16.9545	1632.00	
16.9735	1586.00	
16.9926	1663.00	
17.0116	1648.00	
17.0307	1622.00	
17.0497	1632.00	
17.0688	1673.00	
17.0878	1630.00	
17.1069	1631.00	
17.1260	1610.00	
17.1450	1648.00	
17.1641	1586.00	
17.1831	1670.00	
17.2022	1582.00	
17.2212	1662.00	
17.2403	1593.00	
17.2593	1592.00	
17.2784	1575.00	
17.2974	1583.00	
17.3165	1631.00	
17.3355	1556.00	
17.3546	1556.00	
17.3736	1554.00	
17.3927	1654.00	
17.4118	1586.00	
17.4308	1592.00	
17.4499	1572.00	
17.4689	1605.00	
17.4880	1563.00	
17.5070	1517.00	
17.5261	1494.00	
17.5451	1496.00	
17.5642	1616.00	
17.5832	1521.00	
17.6023	1466.00	
17.6213	1505.00	
17.6404	1496.00	
