XRDML file: ../content/data/xrdml/NASA/BCdT - PT/10Bi(Cd0.5Ti0.5)O3 - 90PbTiO3 - 1100C.xrdml
Package: Scipy
Allowed Error: 0.01
distance  		prominence		recall         		precision      		f1_score       
-------------------------------------------------------------------------------------
100       		None      		0.21875        		0.2            		0.20896        
None      		100       		0.46875        		0.15625        		0.23438        
100       		100       		0.21875        		0.29167        		0.25           
None      		150       		0.34375        		0.35484        		0.34921        
100       		150       		0.15625        		0.3125         		0.20833        
None      		200       		0.3125         		0.55556        		0.4            
100       		200       		0.15625        		0.45455        		0.23256        
None      		250       		0.3125         		0.66667        		0.42553        
100       		250       		0.15625        		0.55556        		0.2439         
None      		300       		0.28125        		0.69231        		0.4            
100       		300       		0.15625        		0.625          		0.25           
None      		350       		0.25           		0.66667        		0.36364        
100       		350       		0.15625        		0.625          		0.25           
None      		400       		0.25           		0.72727        		0.37209        
100       		400       		0.15625        		0.71429        		0.25641        
None      		450       		0.25           		0.72727        		0.37209        
100       		450       		0.15625        		0.71429        		0.25641        
None      		500       		0.25           		0.8            		0.38095        
100       		500       		0.15625        		0.83333        		0.26316        
None      		550       		0.25           		0.8            		0.38095        
100       		550       		0.15625        		0.83333        		0.26316        
None      		600       		0.25           		0.8            		0.38095        
100       		600       		0.15625        		0.83333        		0.26316        
None      		650       		0.25           		0.88889        		0.39024        
100       		650       		0.15625        		0.83333        		0.26316        
None      		700       		0.25           		0.88889        		0.39024        
100       		700       		0.15625        		0.83333        		0.26316        
None      		750       		0.25           		0.88889        		0.39024        
100       		750       		0.15625        		0.83333        		0.26316        
None      		800       		0.25           		0.88889        		0.39024        
100       		800       		0.15625        		0.83333        		0.26316        
None      		850       		0.25           		0.88889        		0.39024        
100       		850       		0.15625        		0.83333        		0.26316        
None      		900       		0.21875        		0.875          		0.35           
100       		900       		0.15625        		0.83333        		0.26316        
None      		950       		0.21875        		0.875          		0.35           
100       		950       		0.15625        		0.83333        		0.26316        
None      		1000      		0.21875        		0.875          		0.35           
100       		1000      		0.15625        		0.83333        		0.26316        
110       		None      		0.15625        		0.16667        		0.16129        
None      		100       		0.46875        		0.15625        		0.23438        
110       		100       		0.15625        		0.2381         		0.18868        
None      		150       		0.34375        		0.35484        		0.34921        
110       		150       		0.15625        		0.35714        		0.21739        
None      		200       		0.3125         		0.55556        		0.4            
110       		200       		0.15625        		0.45455        		0.23256        
None      		250       		0.3125         		0.66667        		0.42553        
110       		250       		0.15625        		0.55556        		0.2439         
None      		300       		0.28125        		0.69231        		0.4            
110       		300       		0.15625        		0.625          		0.25           
None      		350       		0.25           		0.66667        		0.36364        
110       		350       		0.15625        		0.625          		0.25           
None      		400       		0.25           		0.72727        		0.37209        
110       		400       		0.15625        		0.71429        		0.25641        
None      		450       		0.25           		0.72727        		0.37209        
110       		450       		0.15625        		0.71429        		0.25641        
None      		500       		0.25           		0.8            		0.38095        
110       		500       		0.15625        		0.83333        		0.26316        
None      		550       		0.25           		0.8            		0.38095        
110       		550       		0.15625        		0.83333        		0.26316        
None      		600       		0.25           		0.8            		0.38095        
110       		600       		0.15625        		0.83333        		0.26316        
None      		650       		0.25           		0.88889        		0.39024        
110       		650       		0.15625        		0.83333        		0.26316        
None      		700       		0.25           		0.88889        		0.39024        
110       		700       		0.15625        		0.83333        		0.26316        
None      		750       		0.25           		0.88889        		0.39024        
110       		750       		0.15625        		0.83333        		0.26316        
None      		800       		0.25           		0.88889        		0.39024        
110       		800       		0.15625        		0.83333        		0.26316        
None      		850       		0.25           		0.88889        		0.39024        
110       		850       		0.15625        		0.83333        		0.26316        
None      		900       		0.21875        		0.875          		0.35           
110       		900       		0.15625        		0.83333        		0.26316        
None      		950       		0.21875        		0.875          		0.35           
110       		950       		0.15625        		0.83333        		0.26316        
None      		1000      		0.21875        		0.875          		0.35           
110       		1000      		0.15625        		0.83333        		0.26316        
120       		None      		0.15625        		0.17241        		0.16393        
None      		100       		0.46875        		0.15625        		0.23438        
120       		100       		0.15625        		0.33333        		0.21277        
None      		150       		0.34375        		0.35484        		0.34921        
120       		150       		0.15625        		0.45455        		0.23256        
None      		200       		0.3125         		0.55556        		0.4            
120       		200       		0.15625        		0.45455        		0.23256        
None      		250       		0.3125         		0.66667        		0.42553        
120       		250       		0.15625        		0.55556        		0.2439         
None      		300       		0.28125        		0.69231        		0.4            
120       		300       		0.15625        		0.625          		0.25           
None      		350       		0.25           		0.66667        		0.36364        
120       		350       		0.15625        		0.625          		0.25           
None      		400       		0.25           		0.72727        		0.37209        
120       		400       		0.15625        		0.71429        		0.25641        
None      		450       		0.25           		0.72727        		0.37209        
120       		450       		0.15625        		0.71429        		0.25641        
None      		500       		0.25           		0.8            		0.38095        
120       		500       		0.15625        		0.83333        		0.26316        
None      		550       		0.25           		0.8            		0.38095        
120       		550       		0.15625        		0.83333        		0.26316        
None      		600       		0.25           		0.8            		0.38095        
120       		600       		0.15625        		0.83333        		0.26316        
None      		650       		0.25           		0.88889        		0.39024        
120       		650       		0.15625        		0.83333        		0.26316        
None      		700       		0.25           		0.88889        		0.39024        
120       		700       		0.15625        		0.83333        		0.26316        
None      		750       		0.25           		0.88889        		0.39024        
120       		750       		0.15625        		0.83333        		0.26316        
None      		800       		0.25           		0.88889        		0.39024        
120       		800       		0.15625        		0.83333        		0.26316        
None      		850       		0.25           		0.88889        		0.39024        
120       		850       		0.15625        		0.83333        		0.26316        
None      		900       		0.21875        		0.875          		0.35           
120       		900       		0.15625        		0.83333        		0.26316        
None      		950       		0.21875        		0.875          		0.35           
120       		950       		0.15625        		0.83333        		0.26316        
None      		1000      		0.21875        		0.875          		0.35           
120       		1000      		0.15625        		0.83333        		0.26316        
130       		None      		0.125          		0.16           		0.14035        
None      		100       		0.46875        		0.15625        		0.23438        
130       		100       		0.125          		0.26667        		0.17021        
None      		150       		0.34375        		0.35484        		0.34921        
130       		150       		0.125          		0.36364        		0.18605        
None      		200       		0.3125         		0.55556        		0.4            
130       		200       		0.125          		0.44444        		0.19512        
None      		250       		0.3125         		0.66667        		0.42553        
130       		250       		0.125          		0.5            		0.2            
None      		300       		0.28125        		0.69231        		0.4            
130       		300       		0.125          		0.57143        		0.20513        
None      		350       		0.25           		0.66667        		0.36364        
130       		350       		0.125          		0.57143        		0.20513        
None      		400       		0.25           		0.72727        		0.37209        
130       		400       		0.125          		0.66667        		0.21053        
None      		450       		0.25           		0.72727        		0.37209        
130       		450       		0.125          		0.66667        		0.21053        
None      		500       		0.25           		0.8            		0.38095        
130       		500       		0.125          		0.8            		0.21622        
None      		550       		0.25           		0.8            		0.38095        
130       		550       		0.125          		0.8            		0.21622        
None      		600       		0.25           		0.8            		0.38095        
130       		600       		0.125          		0.8            		0.21622        
None      		650       		0.25           		0.88889        		0.39024        
130       		650       		0.125          		0.8            		0.21622        
None      		700       		0.25           		0.88889        		0.39024        
130       		700       		0.125          		0.8            		0.21622        
None      		750       		0.25           		0.88889        		0.39024        
130       		750       		0.125          		0.8            		0.21622        
None      		800       		0.25           		0.88889        		0.39024        
130       		800       		0.125          		0.8            		0.21622        
None      		850       		0.25           		0.88889        		0.39024        
130       		850       		0.125          		0.8            		0.21622        
None      		900       		0.21875        		0.875          		0.35           
130       		900       		0.125          		0.8            		0.21622        
None      		950       		0.21875        		0.875          		0.35           
130       		950       		0.125          		0.8            		0.21622        
None      		1000      		0.21875        		0.875          		0.35           
130       		1000      		0.125          		0.8            		0.21622        
140       		None      		0.125          		0.16667        		0.14286        
None      		100       		0.46875        		0.15625        		0.23438        
140       		100       		0.125          		0.22222        		0.16           
None      		150       		0.34375        		0.35484        		0.34921        
140       		150       		0.125          		0.36364        		0.18605        
None      		200       		0.3125         		0.55556        		0.4            
140       		200       		0.125          		0.44444        		0.19512        
None      		250       		0.3125         		0.66667        		0.42553        
140       		250       		0.125          		0.5            		0.2            
None      		300       		0.28125        		0.69231        		0.4            
140       		300       		0.125          		0.57143        		0.20513        
None      		350       		0.25           		0.66667        		0.36364        
140       		350       		0.125          		0.57143        		0.20513        
None      		400       		0.25           		0.72727        		0.37209        
140       		400       		0.125          		0.66667        		0.21053        
None      		450       		0.25           		0.72727        		0.37209        
140       		450       		0.125          		0.66667        		0.21053        
None      		500       		0.25           		0.8            		0.38095        
140       		500       		0.125          		0.8            		0.21622        
None      		550       		0.25           		0.8            		0.38095        
140       		550       		0.125          		0.8            		0.21622        
None      		600       		0.25           		0.8            		0.38095        
140       		600       		0.125          		0.8            		0.21622        
None      		650       		0.25           		0.88889        		0.39024        
140       		650       		0.125          		0.8            		0.21622        
None      		700       		0.25           		0.88889        		0.39024        
140       		700       		0.125          		0.8            		0.21622        
None      		750       		0.25           		0.88889        		0.39024        
140       		750       		0.125          		0.8            		0.21622        
None      		800       		0.25           		0.88889        		0.39024        
140       		800       		0.125          		0.8            		0.21622        
None      		850       		0.25           		0.88889        		0.39024        
140       		850       		0.125          		0.8            		0.21622        
None      		900       		0.21875        		0.875          		0.35           
140       		900       		0.125          		0.8            		0.21622        
None      		950       		0.21875        		0.875          		0.35           
140       		950       		0.125          		0.8            		0.21622        
None      		1000      		0.21875        		0.875          		0.35           
140       		1000      		0.125          		0.8            		0.21622        
150       		None      		0.125          		0.17391        		0.14545        
None      		100       		0.46875        		0.15625        		0.23438        
150       		100       		0.125          		0.25           		0.16667        
None      		150       		0.34375        		0.35484        		0.34921        
150       		150       		0.125          		0.36364        		0.18605        
None      		200       		0.3125         		0.55556        		0.4            
150       		200       		0.125          		0.44444        		0.19512        
None      		250       		0.3125         		0.66667        		0.42553        
150       		250       		0.125          		0.5            		0.2            
None      		300       		0.28125        		0.69231        		0.4            
150       		300       		0.125          		0.57143        		0.20513        
None      		350       		0.25           		0.66667        		0.36364        
150       		350       		0.125          		0.57143        		0.20513        
None      		400       		0.25           		0.72727        		0.37209        
150       		400       		0.125          		0.66667        		0.21053        
None      		450       		0.25           		0.72727        		0.37209        
150       		450       		0.125          		0.66667        		0.21053        
None      		500       		0.25           		0.8            		0.38095        
150       		500       		0.125          		0.8            		0.21622        
None      		550       		0.25           		0.8            		0.38095        
150       		550       		0.125          		0.8            		0.21622        
None      		600       		0.25           		0.8            		0.38095        
150       		600       		0.125          		0.8            		0.21622        
None      		650       		0.25           		0.88889        		0.39024        
150       		650       		0.125          		0.8            		0.21622        
None      		700       		0.25           		0.88889        		0.39024        
150       		700       		0.125          		0.8            		0.21622        
None      		750       		0.25           		0.88889        		0.39024        
150       		750       		0.125          		0.8            		0.21622        
None      		800       		0.25           		0.88889        		0.39024        
150       		800       		0.125          		0.8            		0.21622        
None      		850       		0.25           		0.88889        		0.39024        
150       		850       		0.125          		0.8            		0.21622        
None      		900       		0.21875        		0.875          		0.35           
150       		900       		0.125          		0.8            		0.21622        
None      		950       		0.21875        		0.875          		0.35           
150       		950       		0.125          		0.8            		0.21622        
None      		1000      		0.21875        		0.875          		0.35           
150       		1000      		0.125          		0.8            		0.21622        
160       		None      		0.125          		0.19048        		0.15094        
None      		100       		0.46875        		0.15625        		0.23438        
160       		100       		0.125          		0.22222        		0.16           
None      		150       		0.34375        		0.35484        		0.34921        
160       		150       		0.125          		0.36364        		0.18605        
None      		200       		0.3125         		0.55556        		0.4            
160       		200       		0.125          		0.44444        		0.19512        
None      		250       		0.3125         		0.66667        		0.42553        
160       		250       		0.125          		0.5            		0.2            
None      		300       		0.28125        		0.69231        		0.4            
160       		300       		0.125          		0.57143        		0.20513        
None      		350       		0.25           		0.66667        		0.36364        
160       		350       		0.125          		0.57143        		0.20513        
None      		400       		0.25           		0.72727        		0.37209        
160       		400       		0.125          		0.66667        		0.21053        
None      		450       		0.25           		0.72727        		0.37209        
160       		450       		0.125          		0.66667        		0.21053        
None      		500       		0.25           		0.8            		0.38095        
160       		500       		0.125          		0.8            		0.21622        
None      		550       		0.25           		0.8            		0.38095        
160       		550       		0.125          		0.8            		0.21622        
None      		600       		0.25           		0.8            		0.38095        
160       		600       		0.125          		0.8            		0.21622        
None      		650       		0.25           		0.88889        		0.39024        
160       		650       		0.125          		0.8            		0.21622        
None      		700       		0.25           		0.88889        		0.39024        
160       		700       		0.125          		0.8            		0.21622        
None      		750       		0.25           		0.88889        		0.39024        
160       		750       		0.125          		0.8            		0.21622        
None      		800       		0.25           		0.88889        		0.39024        
160       		800       		0.125          		0.8            		0.21622        
None      		850       		0.25           		0.88889        		0.39024        
160       		850       		0.125          		0.8            		0.21622        
None      		900       		0.21875        		0.875          		0.35           
160       		900       		0.125          		0.8            		0.21622        
None      		950       		0.21875        		0.875          		0.35           
160       		950       		0.125          		0.8            		0.21622        
None      		1000      		0.21875        		0.875          		0.35           
160       		1000      		0.125          		0.8            		0.21622        
170       		None      		0.125          		0.2            		0.15385        
None      		100       		0.46875        		0.15625        		0.23438        
170       		100       		0.125          		0.25           		0.16667        
None      		150       		0.34375        		0.35484        		0.34921        
170       		150       		0.125          		0.36364        		0.18605        
None      		200       		0.3125         		0.55556        		0.4            
170       		200       		0.125          		0.44444        		0.19512        
None      		250       		0.3125         		0.66667        		0.42553        
170       		250       		0.125          		0.5            		0.2            
None      		300       		0.28125        		0.69231        		0.4            
170       		300       		0.125          		0.57143        		0.20513        
None      		350       		0.25           		0.66667        		0.36364        
170       		350       		0.125          		0.57143        		0.20513        
None      		400       		0.25           		0.72727        		0.37209        
170       		400       		0.125          		0.66667        		0.21053        
None      		450       		0.25           		0.72727        		0.37209        
170       		450       		0.125          		0.66667        		0.21053        
None      		500       		0.25           		0.8            		0.38095        
